"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P1**";"s2b-ph-kl";1;"2.7 - 6.0 VDC";;;
2;"DC";"dc_socket";1;"P1*";;;
3;"P4";"s3b-ph-kl";1;"GPS";;;
4;"P1";"Batterypack3xAAA";1;"3xAAA battery";;;
5;"U2";"RFM95W";1;"RFM95W";;;
6;"D1";"LED-3MM";1;"LED";;;
7;"C4";"C_Radial_D5_L11_P2";1;"10u";;;
8;"C3,C1,C5";"C_Disc_D3_P2.5";3;"100n";;;
9;"U3";"TO-92_Inline_Narrow_Oval";1;"MCP1700";;;
10;"R6,R11,R2,R13,R1,R7,R9";"Resistor_Horizontal_RM10mm";7;"10k";;;
11;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";"perf";33;"";;;
12;"P8";"Perf_board_connecttion_1x11";1;"perfboard breakout";;;
13;"G1";"mjs";1;"MjS logo";;;
14;",,,,,";"1pin";6;"";;;
15;"G2";"oshw";1;"OSHW logo";;;
16;"R10,R8,R5,R4,R3";"Resistor_Horizontal_RM10mm";5;"1k";;;
17;"R12";"Resistor_Horizontal_RM10mm";1;"100k";;;
18;"P6";"Socket_Strip_Straight_1x02";1;"light";;;
19;"P5";"Socket_Strip_Straight_1x02";1;"rain";;;
20;"P7";"Socket_Strip_Straight_1x02";1;"moist";;;
21;"P3";"Socket_Strip_Straight_1x04";1;"HTU21D";;;
22;"P2";"Pin_Header_Straight_1x06";1;"GND GND Vin RxD TxD RST";;;
23;"JP1";"Pin_Header_Straight_1x03";1;"prog  batt";;;
24;"AE1";"1pin";1;"Antenna";;;
25;"Q2,Q1";"ipak_std";2;"STU60N3";;;
26;"U1";"DIP-28_W7.62mm";1;"ATMEGA328P";;;
27;"C2";"C_Radial_D5_L11_P2";1;"10u";;;
